Ticker,ipo_date,price_change
RUSTA.ST,2023-10-19,-4.603343968294849
SEAF.ST,2023-05-11,0.2702661462732263
SEDANA.ST,2023-01-25,5.291823589998131
EMBRAC-B.ST,2022-12-22,0.26000213623046875
CS.ST,2022-12-19,0.0
ACRI-B.ST,2022-12-16,0.5277039875413395
VESTUM.ST,2022-12-13,2.7304630324500883
ALLEI.ST,2022-08-31,-2.72727446122603
SYNACT.ST,2022-07-12,10.967738654023872
ENGCON-B.ST,2022-06-17,35.84905660377358
EMIL-B.ST,2022-06-13,-0.6200217610061448
VEFAB.ST,2022-06-01,7.163493720679734
NICA.ST,2022-03-29,0.625002384185791
OX2.ST,2022-04-06,3.0163974449282787
MMGR-B.ST,2022-03-31,0.0
SLP-B.ST,2022-03-23,10.422835498402563
MANG.ST,2022-02-24,-4.166666666666666
NORVA.ST,2021-12-09,-4.848486004453706
TDVOX.ST,2021-12-09,-13.755928901543744
NIVI-B.ST,2021-12-03,4.3478260869565215
KLARA-B.ST,2021-12-02,-3.992166657036595
SFAB.ST,2021-12-01,9.381817904385652
SYNSAM.ST,2021-10-29,4.854368932038835
VOLCAR-B.ST,2021-10-29,10.978718209773936
ISOFOL.ST,2021-10-21,1.1037463925375934
NETEL.ST,2021-10-15,-0.2083301544189453
BFG.ST,2021-10-15,-5.333333333333334
NORB-B.ST,2021-10-12,-3.2738065038745505
TRUE-B.ST,2021-10-08,-13.333333333333334
STOR-B.ST,2021-10-06,30.761267210463533
TRANS.ST,2021-09-29,0.0
FASTAT.ST,2021-09-16,-2.857144673665348
PRFO.ST,2021-07-01,20.0
SEZI.ST,2021-06-30,4.166666666666666
INFREA.ST,2021-06-29,-1.8181800842285156
CPAC-SPAC.ST,2021-06-23,-1.3000030517577983
RVRC.ST,2021-06-16,6.424246123342803
SDIP-B.ST,2021-06-11,-3.591160220994475
SIVE.ST,2021-06-10,-2.763158431343773
SLEEP.ST,2021-06-08,-13.259668508287293
MILDEF.ST,2021-06-04,-16.13636016845703
CIBUS.ST,2021-06-01,-3.0
LINC.ST,2021-05-28,0.0
SF.ST,2021-05-26,-3.8068164478648794
ARPL.ST,2021-05-25,11.538461538461538
HEM.ST,2021-04-27,16.91390283849855
OVZON.ST,2021-04-20,-1.9607875728968525
PIERCE.ST,2021-03-26,4.3478260869565215
YUBICO.ST,2021-03-25,-4.560745096652294
CINT.ST,2021-02-19,11.11111111111111
TRIAN-B.ST,2020-12-17,0.36363636363636365
MAHA-A.ST,2020-12-17,0.3996817731420009
ANNE-B.ST,2020-12-11,-3.428573608398437
FG.ST,2020-12-09,4.195044821395059
SAVE.ST,2020-11-25,-3.669724770642202
NPAPER.ST,2020-10-22,-1.8347548211095548
WBGR-B.ST,2020-10-13,-1.8518518518518516
QLIRO.ST,2020-10-02,-11.026521561456738
IRLAB-A.ST,2020-09-30,1.0111223302037387
READ.ST,2020-09-17,6.557377049180328
GPG.ST,2020-06-30,-11.627906976744185
IRRAS.ST,2020-05-20,-3.722720966278982
BICO.ST,2020-04-20,0.0
XSPRAY.ST,2020-03-27,-3.8816978435325242
EPRO-B.ST,2020-03-23,-1.3157894736842104
KFAST-B.ST,2019-11-29,16.4285750486415
SBB-B.ST,2019-09-20,-1.6786597783623625
EGTX.ST,2019-10-31,-1.0060305031879493
VICO.ST,2019-09-27,-0.8645510964396123
XBRANE.ST,2019-09-23,-2.388057424061334
8TRA.ST,2019-06-28,-0.9247754436988933
K2A-B.ST,2019-06-20,4.6357602091464445
JOMA.ST,2019-06-05,2.0
GREEN.ST,2019-04-16,-1.6949216467681
KAR.ST,2019-04-11,-4.731184436428931
VPLAY-B.ST,2019-03-28,0.8735604121767372
HANZA.ST,2019-03-25,-0.29325067036875035
ACE.ST,2019-03-13,3.6458333333333335
QLINEA.ST,2018-12-07,-1.1731969835977534
LIME.ST,2018-12-06,0.0
NYF.ST,2018-11-23,0.30805939754722206
BRIN-B.ST,2018-09-27,-1.1173120662180311
CANTA.ST,2018-09-25,-5.4852367196630425
IBT-B.ST,2018-09-10,2.4390243902439024
CALTX.ST,2018-06-29,4.317424478942405
PENG-B.ST,2018-06-19,-2.0729144414265948
EPI-B.ST,2018-06-18,2.142860775902158
IPCO.ST,2018-06-08,3.595887704198976
BETCO.ST,2018-06-08,13.333333333333334
NCAB.ST,2018-06-05,0.5192388965540183
STEF-B.ST,2018-04-10,2.6894827214739467
NIL-B.ST,2018-04-04,-4.4516813703022375
IMMNOV.ST,2018-04-03,0.1618160033218615
RAIL.ST,2018-04-03,-0.4830936124831633
BHG.ST,2018-03-27,-12.5
IMMU.ST,2018-01-15,-7.248332138817391
